id_evento,nombre_evento,recinto,fecha_inicio,fecha_termino,artista,productora
0,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Francisca Valenzuela,Agencia 360
1,Mil Rosas,Mercedes-Benz Arena,2022-11-29,2022-11-29,La Oreja de Van Gogh,Eventveranstalter Hamburg
2,Bachata en vivo,Irving Plaza,2020-11-05,2020-11-05,Prince Royce,The Imagos
3,Como si no importara,Arena Ludwingsburg,2021-01-23,2021-01-23,Emilia,fullevent.de
4,Epic Show,Freiheitshalle,2022-04-03,2022-04-03,The Martinez Brothers,B+D Events
5,Niño Blessi,SOF Q8 Toinha Brasil,2019-09-08,2019-09-08,DrefQuila,Urban Music
6,BZRP Tour,Pabellon Max Schmeling,2020-05-09,2020-05-09,Cazzu,Nachhaltige Events
7,Super Bass Tour,Warehouse Live,2022-04-02,2022-04-02,Nicki Minaj,The Imagos
8,Quedate,Mercedes-Benz Arena,2022-01-19,2022-01-19,Quevedo,Eventveranstalter Hamburg
9,La Gasolina,Estadio Santa Laura,2016-12-16,2016-12-18,Daddy Yankee,Global producciones spa
10,R3hab live show,Velodromo de Berlin,2022-09-19,2022-09-19,R3hab,KahnEvents GmbH
11,CLARITY,Estadio Nacional,2018-08-17,2018-08-19,Kesha,DG Medios y espectaculos s.a.
12,Cerca de ti,Teatro Cariola,2022-01-28,2022-01-28,Tiago PZK,Club providencia
13,Say you wont let go,Antel Arena,2022-02-08,2022-02-08,James Arthur,PROSPERO PRODUCCIONES
14,Twelve Carat Tour,The Anthem,2018-01-29,2018-01-29,Post Malone,AEG
15,Belinda Comeback,E-Werk,2016-01-30,2016-01-30,Belinda,Europages
16,Anastasia,Salitre Magico,2019-12-07,2019-12-07,Cami,Ye & Ca Producciones
17,AgendaMusic,Sala La Rivera,2018-06-20,2018-06-22,Ozuna,LetsGo Company
18,Disney Concert,Estadio Unico Diego Armando Maradona,2016-03-15,2016-03-18,Olivia Rodrigo,ATOMIC FILMS
19,WAP,E-Werk,2016-03-06,2016-03-06,Cardi B,MGC
20,CLARITY,Estadio Nacional,2018-08-17,2018-08-19,Zedd,DG Medios y espectaculos s.a.
