id_evento,id_evento2,nombre_evento,recinto,fecha_inicio,fecha_termino,productora,artista
0,1,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Agencia 360,Francisca Valenzuela
1,1,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Agencia 360,Anuel AA
2,1,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Agencia 360,Justin Bieber
3,1,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Agencia 360,Drake
4,1,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Agencia 360,Bad Bunny
5,1,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Agencia 360,Taylor Swift
6,1,Rio Concert,Vivo Rio,2016-02-26,2016-02-29,Agencia 360,Maria Becerra
7,2,Mil Rosas,Mercedes-Benz Arena,2022-11-29,2022-11-29,Eventveranstalter Hamburg,La Oreja de Van Gogh
8,3,Bachata en vivo,Irving Plaza,2020-11-05,2020-11-05,The Imagos,Prince Royce
9,4,Como si no importara,Arena Ludwingsburg,2021-01-23,2021-01-23,fullevent.de,Emilia
10,4,Como si no importara,Arena Ludwingsburg,2021-01-23,2021-01-23,fullevent.de,Duki
11,5,Epic Show,Freiheitshalle,2022-04-03,2022-04-03,B+D Events,The Martinez Brothers
12,6,Niño Blessi,SOF Q8 Toinha Brasil,2019-09-08,2019-09-08,Urban Music,DrefQuila
13,7,BZRP Tour,Pabellon Max Schmeling,2020-05-09,2020-05-09,Nachhaltige Events,Cazzu
14,7,BZRP Tour,Pabellon Max Schmeling,2020-05-09,2020-05-09,Nachhaltige Events,Paulo Londra
15,7,BZRP Tour,Pabellon Max Schmeling,2020-05-09,2020-05-09,Nachhaltige Events,Snow
16,7,BZRP Tour,Pabellon Max Schmeling,2020-05-09,2020-05-09,Nachhaltige Events,Nicki Nicole
17,7,BZRP Tour,Pabellon Max Schmeling,2020-05-09,2020-05-09,Nachhaltige Events,Bizarrap
18,8,Super Bass Tour,Warehouse Live,2022-04-02,2022-04-02,The Imagos,Nicki Minaj
19,9,Quedate,Mercedes-Benz Arena,2022-01-19,2022-01-19,Eventveranstalter Hamburg,Quevedo
20,10,La Gasolina,Estadio Santa Laura,2016-12-16,2016-12-18,Global producciones spa,Daddy Yankee
21,11,R3hab live show,Velodromo de Berlin,2022-09-19,2022-09-19,KahnEvents GmbH,R3hab
22,12,CLARITY,Estadio Nacional,2018-08-17,2018-08-19,DG Medios y espectaculos s.a.,Kesha
23,12,CLARITY,Estadio Nacional,2018-08-17,2018-08-19,DG Medios y espectaculos s.a.,Zedd
24,12,CLARITY,Estadio Nacional,2018-08-17,2018-08-19,DG Medios y espectaculos s.a.,Diplo
25,12,CLARITY,Estadio Nacional,2018-08-17,2018-08-19,DG Medios y espectaculos s.a.,Robin Schulz
26,13,Cerca de ti,Teatro Cariola,2022-01-28,2022-01-28,Club providencia,Tiago PZK
27,14,Say you wont let go,Antel Arena,2022-02-08,2022-02-08,PROSPERO PRODUCCIONES,James Arthur
28,15,Twelve Carat Tour,The Anthem,2018-01-29,2018-01-29,AEG,Post Malone
29,16,Belinda Comeback,E-Werk,2016-01-30,2016-01-30,Europages,Belinda
